523,470
635,489
160,369
581,262
414,201
652,827
701,305
862,892
92,130
516,428
258,508
585,462
719,842
688,65
828,826
118,335
769,185
145,938
38,623
928,674
648,336
122,842
335,65
224,970
634,418
527,900
216,376
546,901
104,386
735,654
303,191
661,772
752,734
287,176
562,96
347,332
149,736
728,763
81,188
868,772
143,324
669,188
932,760
177,505
949,606
947,315
433,941
981,619
104,705
945,275
615,721
862,829
996,33
967,194
990,146
265,103
340,584
709,842
733,511
796,809
504,702
664,578
32,830
157,990
29,35
547,54
386,586
899,671
965,99
386,57
81,345
297,273
392,362
258,168
836,644
83,333
484,808
259,608
308,602
460,147
211,854
438,972
402,361
99,125
285,198
365,290
459,352
796,476
835,349
820,667
272,404
927,718
861,687
330,979
803,393
261,38
84,342
245,731
559,396
448,236
